empirical_id,country,sex,education,class,occupation,language,citizen,q263_empirical,q130_empirical,q121_empirical,q34_empirical,q63_empirical,q263_model,q130_model,thinking,q263_match,q130_match,valid,raw_response,backend,model,temperature,timestamp
1005,Argentina,man,secondary education,lower middle class,skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Rather bad,Agree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"A lower middle class, secondary‑educated skilled worker in Argentina is likely native to the country and concerned about job security, making a conditional stance on immigration most plausible.",True,False,True,"{""thinking"":""A lower middle class, secondary‑educated skilled worker in Argentina is likely native to the country and concerned about job security, making a conditional stance on immigration most plausible."",""Q263"":""I am born in this country"",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20b,1.0,2026-05-11T22:20:20.987435
1006,Argentina,woman,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"This respondent is a lower middle class sales worker with secondary education, typical of many Argentine citizens who are born locally. She likely views immigration pragmatically, supporting it only when it does not threaten local employment. Thus she would answer that she was born in Argentina and that people should come only if jobs are available.",True,False,True,"{
  ""thinking"": ""This respondent is a lower middle class sales worker with secondary education, typical of many Argentine citizens who are born locally. She likely views immigration pragmatically, supporting it only when it does not threaten local employment. Thus she would answer that she was born in Argentina and that people should come only if jobs are available."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:20:28.965291
1007,Argentina,man,secondary education,lower middle class,skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite good,Neither agree nor disagree,Don't know,I am born in this country,Let people come as long as there are jobs available,A lower middle class skilled worker in Argentina is likely a native born in the country and would support allowing foreigners to work only when jobs are available to avoid competition.,True,False,True,"{
  ""thinking"": ""A lower middle class skilled worker in Argentina is likely a native born in the country and would support allowing foreigners to work only when jobs are available to avoid competition."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:20:35.939488
1008,Argentina,woman,secondary education,lower middle class,person who never had a job,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Very good,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"She is from Argentina, lower middle class, secondary education and unemployed, so likely to be protective of local jobs and lean toward restricting immigration. She will say she was born in the country.",True,True,True,"{
  ""thinking"": ""She is from Argentina, lower middle class, secondary education and unemployed, so likely to be protective of local jobs and lean toward restricting immigration. She will say she was born in the country."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:20:46.184819
1009,Argentina,woman,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite bad,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a lower middle class sales worker in Argentina, this respondent is likely a native born in the country. Economic concerns and competition for jobs suggest a preference for strict limits on foreign workers.",True,True,True,"{
  ""thinking"": ""As a lower middle class sales worker in Argentina, this respondent is likely a native born in the country. Economic concerns and competition for jobs suggest a preference for strict limits on foreign workers."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:20:53.116469
1010,Argentina,woman,secondary education,lower middle class,unskilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a lower‑middle‑class unskilled woman in Argentina, she is likely native to the country and concerned about competition for scarce jobs, so she would support a restrictive immigration stance.",True,True,True,"{""thinking"":""As a lower‑middle‑class unskilled woman in Argentina, she is likely native to the country and concerned about competition for scarce jobs, so she would support a restrictive immigration stance."",""Q263"":""I am born in this country"",""Q130"":""Place strict limits on the number of foreigners who can come here""}",ollama,gpt-oss:20b,1.0,2026-05-11T22:21:01.068843
1011,Argentina,man,secondary education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Rather bad,Agree,Do not trust very much,I am born in this country,Place strict limits on the number of foreigners who can come here,"The respondent is a lower middle class, semi-skilled worker with only secondary education, a demographic that in Argentina tends to be skeptical of immigration and fears job competition. Thus he is most likely born in Argentina and prefers strict limits on foreign workers.",True,True,True,"{
  ""thinking"": ""The respondent is a lower middle class, semi-skilled worker with only secondary education, a demographic that in Argentina tends to be skeptical of immigration and fears job competition. Thus he is most likely born in Argentina and prefers strict limits on foreign workers."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:21:07.906495
1012,Argentina,woman,secondary education,lower middle class,unskilled worker,Spanish; Castilian,No,I am an immigrant to this country (born outside this country),Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"The profile indicates a locally born, lower middle‑class woman with only secondary schooling working in an unskilled job; such respondents tend to see themselves as native and often favor tighter immigration controls to protect local job prospects.",False,True,True,"{""thinking"":""The profile indicates a locally born, lower middle‑class woman with only secondary schooling working in an unskilled job; such respondents tend to see themselves as native and often favor tighter immigration controls to protect local job prospects."",""Q263"":""I am born in this country"",""Q130"":""Place strict limits on the number of foreigners who can come here""}",ollama,gpt-oss:20b,1.0,2026-05-11T22:21:17.177176
1013,Argentina,man,secondary education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust completely,I am born in this country,Let people come as long as there are jobs available,"As a male semi-skilled worker with secondary education in lower middle class Argentina, he is likely born in the country and would support immigration that does not compete with available jobs, hence the conditional option.",True,False,True,"{
  ""thinking"": ""As a male semi-skilled worker with secondary education in lower middle class Argentina, he is likely born in the country and would support immigration that does not compete with available jobs, hence the conditional option."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:21:28.944500
1014,Argentina,man,secondary education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Let anyone come who wants to,"Neither good, nor bad",Disagree,Trust completely,I am born in this country,Let people come as long as there are jobs available,"Given his lower middle class, semi‑skilled worker status in Argentina, he is most likely a native resident rather than an immigrant. As a worker he would favor a pragmatic approach to foreign labor, supporting entry only when employment opportunities exist. This aligns with middle‑class support for regulated migration rather than outright bans or unrestricted flows.",True,False,True,"{
  ""thinking"": ""Given his lower middle class, semi‑skilled worker status in Argentina, he is most likely a native resident rather than an immigrant. As a worker he would favor a pragmatic approach to foreign labor, supporting entry only when employment opportunities exist. This aligns with middle‑class support for regulated migration rather than outright bans or unrestricted flows."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20b,1.0,2026-05-11T22:21:40.067099
