empirical_id,country,question,sex,education,class,occupation,political_ident,empirical,model,thinking,match,valid,raw_response,backend,model_name,temperature,timestamp
1005,Argentina,Q130,man,secondary education,lower middle class,skilled worker,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I am a center‑leaning worker who cares about jobs for locals. I don’t think everyone should just come, but I also don’t want a blanket ban. It seems reasonable to let foreigners in only when jobs are available to avoid competition for my own work. Therefore I would choose the middle option that ties immigration to job availability.",False,True,"{
  ""thinking"": ""I am a center‑leaning worker who cares about jobs for locals. I don’t think everyone should just come, but I also don’t want a blanket ban. It seems reasonable to let foreigners in only when jobs are available to avoid competition for my own work. Therefore I would choose the middle option that ties immigration to job availability."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:01.854904
1007,Argentina,Q130,man,secondary education,lower middle class,skilled worker,center-right,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,I would not allow anyone indiscriminately because that could hurt job opportunities for locals. I would let people come if there are jobs because that balances economy and fairness. I would not impose strict limits because that seems too hard. I would not prohibit entirely because that is extreme.,False,True,"{""thinking"":""I would not allow anyone indiscriminately because that could hurt job opportunities for locals. I would let people come if there are jobs because that balances economy and fairness. I would not impose strict limits because that seems too hard. I would not prohibit entirely because that is extreme."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:05.925147
1008,Argentina,Q130,woman,secondary education,lower middle class,person who never had a job,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I think letting anyone come would make competition for the few jobs I have even harder, and I’m not sure I want a flood of foreigners. Prohibiting them entirely seems extreme and not helpful for the economy. Placing strict limits feels too hard‑pressed for my own concerns about fairness. I would prefer the government to allow foreigners to come only when there are enough jobs to absorb them, so we don’t compete for the same positions.",False,True,"{""thinking"":""I think letting anyone come would make competition for the few jobs I have even harder, and I’m not sure I want a flood of foreigners. Prohibiting them entirely seems extreme and not helpful for the economy. Placing strict limits feels too hard‑pressed for my own concerns about fairness. I would prefer the government to allow foreigners to come only when there are enough jobs to absorb them, so we don’t compete for the same positions."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:08.571423
1010,Argentina,Q130,woman,secondary education,lower middle class,unskilled worker,far-right,Place strict limits on the number of foreigners who can come here,Place strict limits on the number of foreigners who can come here,I would not let anyone come who wants to – because too many people would flood the market and hurt my job. I would not let people come only if there are jobs – that seems too vague and open to abuse. I would place strict limits on the number of foreigners who can come here – that keeps our workforce protected while allowing some control. I would not prohibit people entirely – that is too extreme and unfair.,True,True,"{""thinking"":""I would not let anyone come who wants to – because too many people would flood the market and hurt my job. I would not let people come only if there are jobs – that seems too vague and open to abuse. I would place strict limits on the number of foreigners who can come here – that keeps our workforce protected while allowing some control. I would not prohibit people entirely – that is too extreme and unfair."",""Q130"":""Place strict limits on the number of foreigners who can come here""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:12.560739
1011,Argentina,Q130,man,secondary education,lower middle class,semi-skilled worker,far-right,Place strict limits on the number of foreigners who can come here,Place strict limits on the number of foreigners who can come here,"Let anyone come who wants to: I think that's too open, it would flood the market and hurt local workers. Let people come as long as there are jobs available: I worry that even if jobs exist, the influx could still drive down wages and push locals out. Place strict limits on the number of foreigners who can come here: This balances protecting our economy and people with some openness. Prohibit people coming entirely: That seems too extreme and would isolate us; not my view. Therefore I support strict limits.",True,True,"{
  ""thinking"": ""Let anyone come who wants to: I think that's too open, it would flood the market and hurt local workers. Let people come as long as there are jobs available: I worry that even if jobs exist, the influx could still drive down wages and push locals out. Place strict limits on the number of foreigners who can come here: This balances protecting our economy and people with some openness. Prohibit people coming entirely: That seems too extreme and would isolate us; not my view. Therefore I support strict limits."",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:16.275679
1012,Argentina,Q130,woman,secondary education,lower middle class,unskilled worker,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I would want foreign workers only if there are enough jobs for everyone, so I lean toward allowing them when there are jobs available. I don't think everyone should be free to come, and I don't see a need for strict limits or a complete ban. I prefer a middle ground that ensures job opportunities for locals.",False,True,"{""thinking"":""I would want foreign workers only if there are enough jobs for everyone, so I lean toward allowing them when there are jobs available. I don't think everyone should be free to come, and I don't see a need for strict limits or a complete ban. I prefer a middle ground that ensures job opportunities for locals."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:18.656802
1013,Argentina,Q130,man,secondary education,lower middle class,semi-skilled worker,center,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"Would I let anyone come who wants to? No, because I worry that unrestricted immigration could hurt local job opportunities for people like me. Would I let people come only if there are jobs available? Yes, because that ensures there is space for workers here and helps maintain employment levels. Would I place strict limits on the number of foreigners who can come here? No, I think a flexible, needs‑based approach is better than a blanket cap. Would I prohibit people coming here from other countries? No, I don't want to shut out all foreign workers, just those who could compete with local labor. Therefore, the best choice for me is to let people come as long as there are jobs available.",False,True,"{
  ""thinking"": ""Would I let anyone come who wants to? No, because I worry that unrestricted immigration could hurt local job opportunities for people like me. Would I let people come only if there are jobs available? Yes, because that ensures there is space for workers here and helps maintain employment levels. Would I place strict limits on the number of foreigners who can come here? No, I think a flexible, needs‑based approach is better than a blanket cap. Would I prohibit people coming here from other countries? No, I don't want to shut out all foreign workers, just those who could compete with local labor. Therefore, the best choice for me is to let people come as long as there are jobs available."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:22.485416
1014,Argentina,Q130,man,secondary education,lower middle class,semi-skilled worker,center,Let anyone come who wants to,Let people come as long as there are jobs available,"I am a lower middle class, semi‑skilled worker in Argentina, and I see immigration as a practical matter. I don’t think everyone should be allowed in regardless of circumstances – that could overwhelm the job market and strain public services. On the other hand, completely prohibiting foreign workers would deny jobs for locals and hurt the economy. The most balanced stance is to let foreigners come when there are available jobs, ensuring employment opportunities are available for both locals and newcomers. This aligns with my center position and practical concerns.",False,True,"{""thinking"":""I am a lower middle class, semi‑skilled worker in Argentina, and I see immigration as a practical matter. I don’t think everyone should be allowed in regardless of circumstances – that could overwhelm the job market and strain public services. On the other hand, completely prohibiting foreign workers would deny jobs for locals and hurt the economy. The most balanced stance is to let foreigners come when there are available jobs, ensuring employment opportunities are available for both locals and newcomers. This aligns with my center position and practical concerns."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:24.384221
1015,Argentina,Q130,woman,secondary education,working class,person who never had a job,far-right,Place strict limits on the number of foreigners who can come here,Place strict limits on the number of foreigners who can come here,"Let anyone come who wants to: I would reject this because it threatens job security for locals.
Let people come as long as there are jobs available: I find this insufficient; it still allows too many foreigners and could create competition.
Place strict limits on the number of foreigners who can come here: This aligns with protecting Argentine workers and maintaining cultural integrity.
Prohibit people coming here from other countries: I see this as too harsh and unrealistic.
",True,True,"{""thinking"":""Let anyone come who wants to: I would reject this because it threatens job security for locals.\nLet people come as long as there are jobs available: I find this insufficient; it still allows too many foreigners and could create competition.\nPlace strict limits on the number of foreigners who can come here: This aligns with protecting Argentine workers and maintaining cultural integrity.\nProhibit people coming here from other countries: I see this as too harsh and unrealistic.\n"",""Q130"":""Place strict limits on the number of foreigners who can come here""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:28.939410
1016,Argentina,Q130,man,higher education,working class,sales worker,center-left,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I want to protect my own job and the jobs of my neighbors, so I would not support an unrestricted open-door policy. At the same time, I believe in openness and integration, so I would favor allowing foreign workers only when there are genuine job openings to fill. Strict limits or a full ban would be too extreme and would hurt our economy and the opportunity for people who can contribute. Therefore, the most reasonable stance for me is to let people come as long as there are jobs available.",False,True,"{
  ""thinking"": ""I want to protect my own job and the jobs of my neighbors, so I would not support an unrestricted open-door policy. At the same time, I believe in openness and integration, so I would favor allowing foreign workers only when there are genuine job openings to fill. Strict limits or a full ban would be too extreme and would hurt our economy and the opportunity for people who can contribute. Therefore, the most reasonable stance for me is to let people come as long as there are jobs available."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:32.241534
1017,Argentina,Q130,woman,secondary education,lower middle class,person who never had a job,center-right,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"I would allow immigration only if it doesn't hurt local job prospects. That means I’m fine with foreigners working when there are job openings. I don’t want a blanket ban or overly strict quotas, and I’m not in favor of open doors for everyone. The best balance for me is to tie immigration to job availability.",False,True,"{""thinking"":""I would allow immigration only if it doesn't hurt local job prospects. That means I’m fine with foreigners working when there are job openings. I don’t want a blanket ban or overly strict quotas, and I’m not in favor of open doors for everyone. The best balance for me is to tie immigration to job availability."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:35.273295
1018,Argentina,Q130,man,secondary education,lower middle class,sales worker,center-right,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,"Would I let anyone come who wants to? No, because I worry about competition for jobs. Would I let people come as long as there are jobs available? Yes, that would help fill gaps without hurting locals. Would I place strict limits on the number of foreigners who can come here? No, I think some flexibility is needed. Would I prohibit people from coming entirely? No.",False,True,"{
  ""thinking"": ""Would I let anyone come who wants to? No, because I worry about competition for jobs. Would I let people come as long as there are jobs available? Yes, that would help fill gaps without hurting locals. Would I place strict limits on the number of foreigners who can come here? No, I think some flexibility is needed. Would I prohibit people from coming entirely? No."",
  ""Q130"": ""Let people come as long as there are jobs available""
}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:40.094269
1019,Argentina,Q130,woman,secondary education,lower middle class,person who never had a job,center-right,Place strict limits on the number of foreigners who can come here,Let people come as long as there are jobs available,I think people should be able to come only if there are jobs for them. We need to protect our own employment and keep the economy stable. Unlimited or strict bans seem too extreme. I would support allowing newcomers only when job opportunities exist.,False,True,"{""thinking"":""I think people should be able to come only if there are jobs for them. We need to protect our own employment and keep the economy stable. Unlimited or strict bans seem too extreme. I would support allowing newcomers only when job opportunities exist."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:42.607244
1020,Argentina,Q130,man,secondary education,working class,sales worker,far-right,Let people come as long as there are jobs available,Place strict limits on the number of foreigners who can come here,"I would not let anyone come just because they want to because I worry about competition for jobs and resources. I would prefer to let people come only if there are jobs available, but that still allows some immigrants. A far‑right perspective pushes for tighter control, so I would support placing strict limits on the number of foreigners who can come here. Prohibiting people entirely feels too extreme for me; I still want some foreigners if it benefits the country.",False,True,"{
  ""thinking"": ""I would not let anyone come just because they want to because I worry about competition for jobs and resources. I would prefer to let people come only if there are jobs available, but that still allows some immigrants. A far‑right perspective pushes for tighter control, so I would support placing strict limits on the number of foreigners who can come here. Prohibiting people entirely feels too extreme for me; I still want some foreigners if it benefits the country."",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:45.208037
1021,Argentina,Q130,woman,higher education,lower middle class,semi-skilled worker,center,Let people come as long as there are jobs available,Let people come as long as there are jobs available,"I’m a lower‑middle‑class woman who works semi‑skilled and has a higher‑education background. I value fairness and stability, but I also worry about job competition. I’m not a hardline anti‑immigration person; I would not support a total ban. I also think open borders are too risky for the local workforce. So I’d support allowing foreigners to work only if there are jobs available for them, which balances opportunity with protection of local employment.",True,True,"{""thinking"":""I’m a lower‑middle‑class woman who works semi‑skilled and has a higher‑education background. I value fairness and stability, but I also worry about job competition. I’m not a hardline anti‑immigration person; I would not support a total ban. I also think open borders are too risky for the local workforce. So I’d support allowing foreigners to work only if there are jobs available for them, which balances opportunity with protection of local employment."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:47.815772
1022,Argentina,Q130,man,secondary education,working class,unskilled worker,center-left,Let people come as long as there are jobs available,Let people come as long as there are jobs available,"I think we should allow immigration but I also care about job security for local workers. If there are enough jobs, it can be a benefit, but if we open the doors too freely it could hurt my own chances. So I lean toward letting people come only when jobs exist. That feels most balanced for a working‑class, center‑left viewpoint.",True,True,"{""thinking"":""I think we should allow immigration but I also care about job security for local workers. If there are enough jobs, it can be a benefit, but if we open the doors too freely it could hurt my own chances. So I lean toward letting people come only when jobs exist. That feels most balanced for a working‑class, center‑left viewpoint."",""Q130"":""Let people come as long as there are jobs available""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:50.686685
1023,Argentina,Q130,man,low education,working class,unskilled worker,center-right,Let people come as long as there are jobs available,Place strict limits on the number of foreigners who can come here,"I would not let anyone come who wants to, because too many foreigners could take jobs from people like me. I would prefer people to come only if there are jobs available, but that still seems vague and could allow too many people. I would place strict limits on the number of foreigners, to protect local jobs and keep costs low. I would not prohibit people entirely, as that is too extreme. So I choose strict limits.",False,True,"{""thinking"":""I would not let anyone come who wants to, because too many foreigners could take jobs from people like me. I would prefer people to come only if there are jobs available, but that still seems vague and could allow too many people. I would place strict limits on the number of foreigners, to protect local jobs and keep costs low. I would not prohibit people entirely, as that is too extreme. So I choose strict limits."",""Q130"":""Place strict limits on the number of foreigners who can come here""}",ollama,gpt-oss:20B,1.0,2026-05-16T23:00:54.195340
